"Performer","Album","Track"
"The Beatles","Past Masters, Vol. 1","Yes It Is"
"The Beatles","Past Masters, Vol. 2","You Know My Name (Look Up The Number)"
"David Bowie","Absolute Beginners","Absolute Beginners"
"David Bowie","Labyrinth","As The World Falls Down"
"London Starlight Orchestra","Back To The Future","Back To The Future"
"The Blues Brothers","The Blues Brothers","Everybody Needs Somebody To Love"
"Stevie Wonder","The Woman In Red","I Just Called To Say I Love You"
"Marty McFly With The Starlighters","Back To the Future","Johnny B. Goode"
"Sade","Absolute Beginners","Killer Blow"
"Los Lobos","La Bamba","La Bamba"
